description,smarts
reactive alkyl halides,"[Br,Cl,I][CX4;CH,CH2]"
acid halides,"[S,C](=[O,S])[F,Br,Cl,I]"
carbazides,O=CN=[N+]=[N-]
sulphate esters,"COS(=O)O[C,c]"
sulphonates,"COS(=O)(=O)[C,c]"
acid anhydrides,C(=O)OC(=O)
peroxides,OO
pentafluorophenyl esters,C(=O)Oc1c(F)c(F)c(F)c(F)c1(F)
esters of HOBT,C(=O)Onnn
isocyanates & isothiocyanates,"N=C=[S,O]"
triflates,OS(=O)(=O)C(F)(F)F
lawesson's reagent and derivatives,P(=S)(S)S
phosphoramides,NP(=O)(N)N
aromatic azides,cN=[N+]=[N-]
acylhydrazide,[N;R0][N;R0]C(=O)
"quaternary C, Cl, I, P or S","[C+,Cl+,I+,P+,S+]"
phosphoranes,C=P
chloramidines,[Cl]C([C&R0])=N
nitroso,[N&D2](=O)
P/S Halides,"[P,S][Cl,Br,F,I]"
carbodiimide,N=C=N
isonitrile,[N+]#[C-]
triacyloximes,C(=O)N(C(=O))OC(=O)
cyanohydrins,N#CC[OH]
acyl cyanides,N#CC(=O)
sulfonyl cyanides,S(=O)(=O)C#N
cyanophosphonates,P(OCC)(OCC)(=O)C#N
azocyanamides,[N;R0]=[N;R0]C#N
azoalkanals,[N;R0]=[N;R0]CC=O
"epoxides, thioepoxides, aziridines","C1[O,S,N]C1"
"esters, thioesters","C[O,S;R0][C;R0](=[O,S])"
cyanamides,NC#N
four membered lactones,C1(=O)OCC1
betalactams,N1CCC1=O
di and triphosphates,P(=O)([OH])OP(=O)[OH]
acyclic C=C-O,C=[C!r]O
amidotetrazole,c1nnnn1C=O
azo group,N#N
hydroxamic acid,C(=O)N[OH]
imine,C=[N!R]
imine,"N=[CR0][N,n,O,S]"
ketene,C=C=O
nitro group,[N+](=O)[O-]
N-nitroso,[#7]-N=O
oxime,"[C,c]=N[OH]"
oxime,"[C,c]=NOC=O"
Oxygen-nitrogen single bond,"[OR0,NR0][OR0,NR0]"
perfluorinated chain,[CX4](F)(F)[CX4](F)F

